,person,cluster,centroid_latitude,centroid_longitude,count,count_per_person,mean_duration_mins_weekend,mean_duration_mins_workday,mean_start_mins_of_day_weekend,mean_start_mins_of_day_workday,std_duration_mins_weekend,std_duration_mins_workday,std_start_mins_of_day_weekend,std_start_mins_of_day_workday,min_duration_mins_weekend,min_duration_mins_workday,min_start_mins_of_day_weekend,min_start_mins_of_day_workday,max_duration_mins_weekend,max_duration_mins_workday,max_start_mins_of_day_weekend,max_start_mins_of_day_workday,count_duration_mins_weekend,count_duration_mins_workday,count_start_mins_of_day_weekend,count_start_mins_of_day_workday
0,person1,8,51.21255020855614,4.398739472058829,748,145,0.6666666666666666,167.8450704225352,807.0,687.3661971830986,0.5773502691896258,239.6963592149805,8.54400374531753,232.22667084270108,0,0,798,403,1,1674,815,1210,3,142,3,142
1,person1,21,51.19415651724139,4.401603062068967,29,3,0.0,3.6666666666666665,0.0,763.3333333333334,0.0,5.507570547286102,0.0,478.9617242884168,0,0,0,469,0,10,0,1316,0,3,0,3
2,person1,29,51.202387,4.429551,2,1,0.0,167.0,0.0,485.0,,,,,0,167,0,485,0,167,0,485,0,1,0,1
3,person1,30,51.245445083333344,4.417395783333333,12,2,99.0,0.0,737.5,0.0,131.52186130069785,0.0,9.192388155425117,0.0,6,0,731,0,192,0,744,0,2,0,2,0
4,person1,66,51.23075132692307,4.403832065384615,52,1,2.0,0.0,868.0,0.0,,,,,2,0,868,0,2,0,868,0,1,0,1,0
5,person1,78,51.225845,4.41247015,2,1,0.0,0.0,849.0,0.0,,,,,0,0,849,0,0,0,849,0,1,0,1,0
6,person1,79,51.16855925,4.386280374999999,4,1,0.0,16.0,0.0,1086.0,,,,,0,16,0,1086,0,16,0,1086,0,1,0,1
7,person1,86,51.19824575,4.3718304,4,1,0.0,1.0,0.0,868.0,,,,,0,1,0,868,0,1,0,868,0,1,0,1
8,person1,87,51.15744889473683,4.385717168421054,19,6,6.0,17.4,515.0,932.8,0.0,16.90562036720333,0.0,35.202272653906874,6,0,515,893,6,36,515,971,1,5,1,5
9,person1,157,51.1806165,4.3899293,2,1,2.0,0.0,502.0,0.0,,,,,2,0,502,0,2,0,502,0,1,0,1,0
10,person1,163,-49.32696633333333,-72.89074666666667,6,6,0.0,236.33333333333334,0.0,1040.5,0.0,467.8400011399909,0.0,111.26499898890037,0,3,0,947,0,1186,0,1231,0,6,0,6
11,person1,164,-49.31661,-72.8989,1,1,0.0,14.0,0.0,1078.0,,,,,0,14,0,1078,0,14,0,1078,0,1,0,1
12,person1,165,-49.33384,-72.88286,1,1,0.0,24.0,0.0,1176.0,,,,,0,24,0,1176,0,24,0,1176,0,1,0,1
13,person1,166,-50.33626534883719,-72.25820818604653,43,43,48.354838709677416,96.5,348.0,676.9166666666666,102.06192511970261,261.41207456288765,284.882197876011,649.1099442289955,2,1,41,32,470,923,925,1398,31,12,31,12
14,person1,167,-50.378677,-72.267525,1,1,0.0,2.0,0.0,1070.0,,,,,0,2,0,1070,0,2,0,1070,0,1,0,1
15,person1,168,-50.38069,-72.287557,2,2,0.0,2.5,0.0,1086.5,0.0,0.7071067811865476,0.0,7.7781745930520225,0,2,0,1081,0,3,0,1092,0,2,0,2
16,person1,169,-50.3905865,-72.266078,2,2,0.0,11.0,0.0,1181.5,0.0,2.8284271247461903,0.0,37.476659402887016,0,9,0,1155,0,13,0,1208,0,2,0,2
17,person1,170,-50.38342,-72.25001999999999,1,1,0.0,10.0,0.0,1237.0,,,,,0,10,0,1237,0,10,0,1237,0,1,0,1
18,person1,171,-50.326678571428566,-72.26645971428572,7,7,16.0,7.0,56.666666666666664,1411.25,17.349351572897472,2.8284271247461903,45.50091574170055,21.746647251166483,5,5,11,1388,36,11,102,1439,3,4,3,4
19,person1,172,-50.32492,-72.271805,1,1,23.0,0.0,70.0,0.0,,,,,23,0,70,0,23,0,70,0,1,0,1,0
20,person1,173,-50.426840000000006,-72.75216,1,1,3.0,0.0,973.0,0.0,,,,,3,0,973,0,3,0,973,0,1,0,1,0
21,person1,174,-50.46943216666667,-73.032459,6,6,24.666666666666668,0.0,1222.1666666666667,0.0,13.647954669717608,0.0,103.56720845261142,0.0,3,0,1069,0,39,0,1353,0,6,0,6,0
22,person1,175,-50.328896,-72.34045400000001,1,1,18.0,0.0,16.0,0.0,,,,,18,0,16,0,18,0,16,0,1,0,1,0
23,person1,176,-50.29999,-72.06545,1,1,53.0,0.0,943.0,0.0,,,,,53,0,943,0,53,0,943,0,1,0,1,0
24,person1,177,-50.28412,-72.05306,1,1,239.0,0.0,1011.0,0.0,,,,,239,0,1011,0,239,0,1011,0,1,0,1,0
25,person1,178,-54.839325,-68.31266,1,1,97.0,0.0,1354.0,0.0,,,,,97,0,1354,0,97,0,1354,0,1,0,1,0
26,person1,179,-54.80968447368421,-68.31754760526317,38,38,0.0,61.63157894736842,0.0,464.89473684210526,0.0,148.35556649803559,0.0,386.1954266160049,0,0,0,3,0,868,0,1418,0,38,0,38
27,person1,180,-54.80658490909091,-68.3023821818182,11,11,0.0,25.545454545454547,0.0,904.1818181818181,0.0,29.152576683249237,0.0,441.86577558842873,0,0,0,196,0,78,0,1356,0,11,0,11
28,person1,181,-54.836277,-68.25137,1,1,0.0,1.0,0.0,1381.0,,,,,0,1,0,1381,0,1,0,1381,0,1,0,1
29,person1,182,-54.855263,-68.21923000000001,1,1,0.0,10.0,0.0,1402.0,,,,,0,10,0,1402,0,10,0,1402,0,1,0,1
30,person1,183,-54.86684399999999,-68.250916,1,1,0.0,7.0,0.0,1429.0,,,,,0,7,0,1429,0,7,0,1429,0,1,0,1
31,person1,184,-54.83322,-68.42344,1,1,0.0,28.0,0.0,961.0,,,,,0,28,0,961,0,28,0,961,0,1,0,1
32,person1,185,-54.82001999999999,-68.469864,1,1,0.0,6.0,0.0,1011.0,,,,,0,6,0,1011,0,6,0,1011,0,1,0,1
33,person1,186,-54.846916,-68.48087,1,1,0.0,11.0,0.0,1059.0,,,,,0,11,0,1059,0,11,0,1059,0,1,0,1
34,person1,187,-54.837444,-68.56215999999999,1,1,0.0,18.0,0.0,1134.0,,,,,0,18,0,1134,0,18,0,1134,0,1,0,1
35,person1,188,-54.855059999999995,-68.5778,1,1,0.0,3.0,0.0,1198.0,,,,,0,3,0,1198,0,3,0,1198,0,1,0,1
36,person1,189,-34.557534,-58.413211999999994,3,3,0.0,56.666666666666664,0.0,1298.3333333333333,0.0,87.75724091682312,0.0,103.78021648336131,0,6,0,1233,0,158,0,1418,0,3,0,3
37,person1,190,-25.624455750000003,-54.550570375,8,8,260.75,515.75,603.75,1025.0,284.47656611163364,442.9893715805531,471.91763052464995,601.3373983602439,63,85,165,128,683,1003,1090,1396,4,4,4,4
38,person1,191,-25.604162,-54.563427000000004,1,1,0.0,12.0,0.0,909.0,,,,,0,12,0,909,0,12,0,909,0,1,0,1
39,person1,192,-25.599882,-54.561882,1,1,0.0,10.0,0.0,946.0,,,,,0,10,0,946,0,10,0,946,0,1,0,1
40,person1,193,-25.686262499999998,-54.442131399999994,10,10,0.0,9.3,0.0,1181.1,0.0,7.9589223167740775,0.0,129.95507770849977,0,3,0,1039,0,29,0,1364,0,10,0,10
41,person1,194,-25.578411,-54.55724300000001,1,1,0.0,3.0,0.0,1207.0,,,,,0,3,0,1207,0,3,0,1207,0,1,0,1
42,person1,195,-25.695513000000002,-54.437622,1,1,0.0,23.0,0.0,1003.0,,,,,0,23,0,1003,0,23,0,1003,0,1,0,1
43,person1,196,-34.60897,-58.371613,1,1,11.0,0.0,162.0,0.0,,,,,11,0,162,0,11,0,162,0,1,0,1,0
44,person1,197,-34.60866299999999,-58.3785532,5,5,137.0,0.0,714.2,0.0,215.34623284376255,0.0,317.97437003632854,0.0,10,0,327,0,518,0,961,0,5,0,5,0
45,person1,198,-34.812263,-58.539413,1,1,1078.0,0.0,1076.0,0.0,,,,,1078,0,1076,0,1078,0,1076,0,1,0,1,0
46,person1,199,51.182976000000004,4.380925700000001,1,1,0.0,3.0,0.0,962.0,,,,,0,3,0,962,0,3,0,962,0,1,0,1
47,person1,200,51.172001472973,4.348029450675674,148,148,360.4791666666667,379.02,769.4583333333334,1015.33,405.9975363924486,430.015127288529,259.77272868293136,238.94765307299193,0,0,47,120,1461,2150,1373,1356,48,100,48,100
48,person1,201,51.13501,4.5571623,1,1,0.0,7.0,0.0,1117.0,,,,,0,7,0,1117,0,7,0,1117,0,1,0,1
49,person1,202,51.171620000000004,4.499621,1,1,0.0,4.0,0.0,1141.0,,,,,0,4,0,1141,0,4,0,1141,0,1,0,1
50,person1,203,51.1713954,4.36439288,15,15,7.666666666666667,17.444444444444443,1006.1666666666666,982.6666666666666,3.32665998663324,15.265247386720523,60.960369640174136,128.91857895586656,4,2,917,741,13,49,1089,1080,6,9,6,9
51,person1,204,51.219227000000004,2.9074838,1,1,87.0,0.0,628.0,0.0,,,,,87,0,628,0,87,0,628,0,1,0,1,0
52,person1,205,50.9291238,3.0116359600000004,5,5,177.2,0.0,770.8,0.0,117.86729826376781,0.0,150.31533521234618,0.0,64,0,612,0,368,0,1009,0,5,0,5,0
53,person1,206,50.93267,3.013375,1,1,55.0,0.0,939.0,0.0,,,,,55,0,939,0,55,0,939,0,1,0,1,0
54,person1,207,51.066494,4.407941,1,1,1.0,0.0,842.0,0.0,,,,,1,0,842,0,1,0,842,0,1,0,1,0
55,person1,208,51.04271,5.183568299999999,2,2,5.5,0.0,868.0,0.0,6.363961030678928,0.0,312.54119728445403,0.0,1,0,647,0,10,0,1089,0,2,0,2,0
56,person1,209,51.049153666666676,5.189065766666666,3,3,94.33333333333333,0.0,1019.0,0.0,89.02995750495073,0.0,322.470153657668,0.0,20,0,665,0,193,0,1296,0,3,0,3,0
57,person1,210,51.18359075,4.350186450000001,4,4,0.0,1.25,0.0,918.0,0.0,0.9574271077563382,0.0,311.4043459341354,0,0,0,467,0,2,0,1180,0,4,0,4
58,person1,211,51.153636999999996,3.229126,1,1,7.0,0.0,566.0,0.0,,,,,7,0,566,0,7,0,566,0,1,0,1,0
